,length,gc
ENSG00000007952,2543,0.372788046
ENSG00000007968,5462,0.549432442
ENSG00000008018,2219,0.428571429
ENSG00000008056,3733,0.486739887
ENSG00000008083,6244,0.506566304
ENSG00000008086,19056,0.421389589
ENSG00000008118,3328,0.518028846
ENSG00000008128,5085,0.494985251
ENSG00000008130,5570,0.52513465
ENSG00000008196,6155,0.482696994
ENSG00000008197,2203,0.464820699
ENSG00000008226,8338,0.552050852
ENSG00000008256,5808,0.465048209
ENSG00000008277,13668,0.393766462
ENSG00000008282,2909,0.473014782
ENSG00000008283,5296,0.566654079
ENSG00000008294,11951,0.442306083
ENSG00000008300,13850,0.607220217
ENSG00000008311,10816,0.347633136
ENSG00000008323,4316,0.610287303
ENSG00000008324,3118,0.419499679
ENSG00000008382,2049,0.659346022
ENSG00000008394,7441,0.38664158
ENSG00000008405,4782,0.421371811
ENSG00000008438,708,0.639830508
ENSG00000008441,6486,0.61147086
ENSG00000008513,8852,0.518413918
ENSG00000008516,4745,0.664910432
ENSG00000008517,3209,0.582736055
ENSG00000008710,18534,0.644167476
ENSG00000008735,5793,0.630761264
ENSG00000008838,6962,0.483481758
ENSG00000008853,7408,0.586933045
ENSG00000008869,8238,0.410172372
ENSG00000008952,7928,0.37209889
ENSG00000008988,6765,0.416555802
ENSG00000009307,9830,0.383519837
ENSG00000009335,9215,0.456646772
ENSG00000009413,12425,0.410623742
ENSG00000009694,13547,0.378164907
ENSG00000009709,6473,0.547350533
ENSG00000009724,5113,0.44474868
ENSG00000009765,10362,0.433217526
ENSG00000009780,4046,0.415472071
ENSG00000009790,7750,0.448
ENSG00000009830,13203,0.471635234
ENSG00000009844,7258,0.37985671
ENSG00000009950,4815,0.573208723
ENSG00000009954,7060,0.463031161
ENSG00000010017,3618,0.479823107
ENSG00000010030,2374,0.48525695
ENSG00000010072,5906,0.422621063
ENSG00000010165,3831,0.498303315
ENSG00000010219,7050,0.457446809
ENSG00000010244,15818,0.366101909
ENSG00000010256,3204,0.525905119
ENSG00000010270,4324,0.443802035
ENSG00000010278,5829,0.513295591
ENSG00000010282,2888,0.582063712
ENSG00000010292,6470,0.518547141
ENSG00000010295,4945,0.546006067
ENSG00000010310,5069,0.571513119
ENSG00000010318,3364,0.500891795
ENSG00000010319,5047,0.610263523
ENSG00000010322,9062,0.582211432
ENSG00000010327,10588,0.620891575
ENSG00000010361,2953,0.499492042
ENSG00000010379,4243,0.470186189
ENSG00000010404,9294,0.427695287
ENSG00000010438,1425,0.550175439
ENSG00000010539,7498,0.471192318
ENSG00000010610,4557,0.552775949
ENSG00000010626,3052,0.54587156
ENSG00000010671,7817,0.445567353
ENSG00000010704,5675,0.433303965
ENSG00000010803,4602,0.481964363
ENSG00000010810,7411,0.478882742
ENSG00000010818,11272,0.388484741
ENSG00000010932,3602,0.424486396
ENSG00000011007,5348,0.477748691
ENSG00000011009,2021,0.617516081
ENSG00000011021,8173,0.529793222
ENSG00000011028,6591,0.634805037
ENSG00000011052,1241,0.53182917
ENSG00000011083,4277,0.602758943
ENSG00000011105,6905,0.595944967
ENSG00000011114,11333,0.406070767
ENSG00000011132,5596,0.539671194
ENSG00000011143,11285,0.464155959
ENSG00000011198,7539,0.423928903
ENSG00000011201,7082,0.461451567
ENSG00000011243,8576,0.579990672
ENSG00000011258,7184,0.403674833
ENSG00000011260,2703,0.428042915
ENSG00000011275,7576,0.496040127
ENSG00000011295,6054,0.435744962
ENSG00000011304,7521,0.600319107
ENSG00000011332,4800,0.586875
ENSG00000011347,7552,0.603681144
ENSG00000011376,12407,0.483839768
ENSG00000011405,9207,0.410231346
ENSG00000011422,4457,0.500560915
ENSG00000011426,5997,0.402534601
ENSG00000011451,10037,0.595397031
ENSG00000011465,12941,0.359632177
ENSG00000011478,2825,0.576637168
ENSG00000011485,7089,0.561292143
ENSG00000011523,11832,0.469658553
ENSG00000011566,6056,0.414299868
ENSG00000011590,2739,0.587440672
ENSG00000011600,907,0.501653804
ENSG00000011638,2558,0.500781861
ENSG00000011677,4150,0.436626506
ENSG00000012048,14160,0.450847458
ENSG00000012061,5575,0.508520179
ENSG00000012124,6165,0.549553933
ENSG00000012171,5768,0.63592233
ENSG00000012174,8945,0.38803801
ENSG00000012211,3656,0.550875274
ENSG00000012223,3989,0.479318125
ENSG00000012232,16477,0.495964071
ENSG00000012504,3628,0.405181918
ENSG00000012660,3813,0.504589562
ENSG00000012779,3728,0.589592275
ENSG00000012817,9463,0.377470147
ENSG00000012822,8898,0.493369296
ENSG00000012963,3509,0.445426047
ENSG00000012983,7580,0.425197889
ENSG00000013016,4825,0.545699482
ENSG00000013275,2550,0.531764706
ENSG00000013288,8884,0.57429086
ENSG00000013293,10496,0.411299543
ENSG00000013297,4321,0.470261514
ENSG00000013306,3526,0.62195122
ENSG00000013364,6141,0.573522228
ENSG00000013374,5338,0.477707006
ENSG00000013375,22007,0.391102831
ENSG00000013392,3769,0.4282303
ENSG00000013441,5117,0.405511042
ENSG00000013503,4768,0.441484899
ENSG00000013523,6525,0.443678161
ENSG00000013561,4988,0.443263833
ENSG00000013563,4132,0.55106486
ENSG00000013573,8367,0.565316123
ENSG00000013583,3428,0.448074679
ENSG00000013588,7663,0.48558006
ENSG00000013619,6664,0.553271309
ENSG00000013725,5958,0.582242363
ENSG00000013810,8825,0.594447592
ENSG00000014123,4539,0.373209958
ENSG00000014138,12006,0.487506247
ENSG00000014164,3721,0.655737705
ENSG00000014216,7506,0.604583
ENSG00000014257,4284,0.432072829
ENSG00000014641,4990,0.411222445
ENSG00000014824,7199,0.378802611
ENSG00000014914,4572,0.50984252
ENSG00000014919,5215,0.414573346
ENSG00000015133,12426,0.505230967
ENSG00000015153,10839,0.391641295
ENSG00000015171,12925,0.441160542
ENSG00000015285,3402,0.561728395
ENSG00000015413,2737,0.633175009
ENSG00000015475,4420,0.571493213
ENSG00000015479,12064,0.385278515
ENSG00000015520,5267,0.550218341
ENSG00000015532,5472,0.586074561
ENSG00000015568,14185,0.39929503
ENSG00000015592,3309,0.474161378
ENSG00000015676,9893,0.46335793
ENSG00000016082,2817,0.451544196
ENSG00000016391,7787,0.518556569
ENSG00000016402,4730,0.453911205
ENSG00000016490,3310,0.432930514
ENSG00000016602,3447,0.378590078
ENSG00000016864,3785,0.48322325
ENSG00000017260,8510,0.398119859
ENSG00000017427,8115,0.401232286
ENSG00000017483,4017,0.56484939
ENSG00000017797,8041,0.459395598
ENSG00000018189,9405,0.412971823
ENSG00000018236,7649,0.383971761
ENSG00000018280,8676,0.573766713
ENSG00000018408,8353,0.390518377
ENSG00000018510,15223,0.375615844
ENSG00000018610,2581,0.472297559
ENSG00000018625,6298,0.533343919
ENSG00000018699,3443,0.444670346
ENSG00000018869,3341,0.419934151
ENSG00000019102,1447,0.556323428
ENSG00000019144,21691,0.543820018
ENSG00000019169,2051,0.568990736
ENSG00000019186,3988,0.477432297
ENSG00000019485,13976,0.542930738
ENSG00000019505,5445,0.478236915
ENSG00000019549,3281,0.418774764
ENSG00000019582,4526,0.527839152
ENSG00000019991,9753,0.366143751
ENSG00000019995,5993,0.393625897
ENSG00000020129,4917,0.612161887
ENSG00000020181,7084,0.628176172
ENSG00000020256,6790,0.462297496
ENSG00000020426,3877,0.364457054
ENSG00000020577,12333,0.481958972
ENSG00000020633,4922,0.5365705
ENSG00000020922,7674,0.394709408
ENSG00000021300,4933,0.565984188
ENSG00000021355,3047,0.493600263
ENSG00000021461,2628,0.432648402
ENSG00000021488,2598,0.449961509
ENSG00000021574,9488,0.408621417
ENSG00000021645,15534,0.453778808
ENSG00000021762,7473,0.604576475
ENSG00000021776,13431,0.407192316
ENSG00000021826,11018,0.417317117
ENSG00000021852,3931,0.406766726
ENSG00000022267,5862,0.501194132
ENSG00000022277,4063,0.463204529
ENSG00000022355,8420,0.383610451
ENSG00000022556,6313,0.50768256
ENSG00000022567,8608,0.535664498
ENSG00000022840,5900,0.504915254
ENSG00000022976,5595,0.532260947
ENSG00000023041,9250,0.409945946
ENSG00000023171,14932,0.508103402
ENSG00000023191,7374,0.612015189
ENSG00000023228,12174,0.419993429
ENSG00000023287,7613,0.383029029
ENSG00000023318,14212,0.374331551
ENSG00000023330,2536,0.518138801
ENSG00000023445,7518,0.366719872
ENSG00000023516,9915,0.372970247
ENSG00000023572,6210,0.425120773
ENSG00000023608,2593,0.368684921
ENSG00000023697,2813,0.408460718
ENSG00000023734,2215,0.423476298
ENSG00000023839,7837,0.442643869
ENSG00000023892,5066,0.510067114
ENSG00000023902,6629,0.543822598
ENSG00000023909,5426,0.385366753
ENSG00000024048,8874,0.419652919
ENSG00000024422,3844,0.606919875
ENSG00000024526,5904,0.369918699
ENSG00000024862,1247,0.437048917
ENSG00000025039,5095,0.485966634
ENSG00000025156,2697,0.403411198
ENSG00000025293,8372,0.449474439
ENSG00000025423,2272,0.477112676
ENSG00000025434,4534,0.559991178
ENSG00000025708,3600,0.650555556
ENSG00000025770,4459,0.601255887
ENSG00000025772,1973,0.491637101
ENSG00000025796,8606,0.420520567
ENSG00000025800,7457,0.475928658
ENSG00000026025,5176,0.502704791
ENSG00000026036,9093,0.638953041
ENSG00000026103,29313,0.414798895
ENSG00000026297,19532,0.515564202
ENSG00000026508,9992,0.423038431
ENSG00000026559,5415,0.53721145
ENSG00000026652,14253,0.442643654
ENSG00000026751,4833,0.460376578
ENSG00000026950,5539,0.475356563
ENSG00000027001,3388,0.391971665
ENSG00000027075,8947,0.497373421
ENSG00000027644,5200,0.550384615
ENSG00000027697,3549,0.451958298
ENSG00000027847,4878,0.605166052
ENSG00000027869,2498,0.569655725
ENSG00000028116,3531,0.440101954
ENSG00000028137,3778,0.594494442
ENSG00000028203,8766,0.38569473
ENSG00000028277,9072,0.482804233
ENSG00000028310,9549,0.574196251
ENSG00000028528,9789,0.463479416
ENSG00000028839,5039,0.392538202
ENSG00000029153,7001,0.409941437
ENSG00000029363,9533,0.396936956
ENSG00000029364,7138,0.434995797
ENSG00000029534,10996,0.503728629
ENSG00000029559,1573,0.424666243
ENSG00000029639,4111,0.412308441
ENSG00000029725,7059,0.417764556
ENSG00000029993,3914,0.453755749
ENSG00000030066,8576,0.423041045
ENSG00000030110,2212,0.595388788
ENSG00000030304,9176,0.378160418
ENSG00000030419,12243,0.365596667
ENSG00000030582,3524,0.61861521
ENSG00000031003,6808,0.422444183
ENSG00000031081,9374,0.496799659
ENSG00000031691,1741,0.340034463
ENSG00000031698,3849,0.485840478
ENSG00000031823,7445,0.536601746
ENSG00000032219,7449,0.395355081
ENSG00000032389,5723,0.482264547
ENSG00000032444,7161,0.636782572
ENSG00000032742,6049,0.38006282
ENSG00000033011,10637,0.509448153
ENSG00000033030,9125,0.425863014
ENSG00000033050,5158,0.494183792
ENSG00000033100,6498,0.582179132
ENSG00000033122,30043,0.387943947
ENSG00000033170,6976,0.436783257
ENSG00000033178,11408,0.359221599
ENSG00000033327,6775,0.478819188
ENSG00000033627,12938,0.494125831
ENSG00000033800,10647,0.42979243
ENSG00000033867,9616,0.40827787
ENSG00000034053,6869,0.56194497
ENSG00000034152,3775,0.591258278
ENSG00000034239,5822,0.399690828
ENSG00000034510,461,0.53362256
ENSG00000034533,3427,0.377297928
ENSG00000034677,5852,0.405160629
ENSG00000034693,2830,0.366784452
ENSG00000034713,3010,0.457807309
ENSG00000034971,2104,0.475285171
ENSG00000035115,11132,0.384926338
ENSG00000035141,3062,0.50163292
ENSG00000035403,9992,0.45366293
ENSG00000035499,3806,0.425118234
ENSG00000035664,13661,0.459117195
ENSG00000035681,6170,0.431928687
ENSG00000035687,3441,0.47224644
ENSG00000035720,1951,0.380317786
ENSG00000035862,6209,0.564664197
ENSG00000035928,6713,0.396544019
ENSG00000036054,5176,0.378670788
ENSG00000036257,11505,0.427466319
ENSG00000036448,7056,0.515873016
ENSG00000036473,1683,0.407011289
ENSG00000036530,9358,0.475849541
ENSG00000036549,9008,0.388432504
ENSG00000036565,3910,0.414066496
ENSG00000036672,4523,0.598275481
ENSG00000036828,12020,0.474292845
ENSG00000037042,2793,0.556032939
ENSG00000037241,1164,0.515463918
ENSG00000037280,8852,0.615341166
ENSG00000037474,5506,0.448964766
ENSG00000037637,9009,0.435675436
ENSG00000037749,10159,0.424844965
ENSG00000037757,3466,0.542700519
ENSG00000037897,1947,0.541859271
ENSG00000037965,2417,0.496483244
ENSG00000038002,2605,0.46756238
ENSG00000038210,3685,0.381004071
ENSG00000038219,15862,0.400075653
ENSG00000038274,8700,0.378045977
ENSG00000038295,8105,0.405428748
ENSG00000038358,6140,0.594625407
ENSG00000038382,19917,0.509414068
ENSG00000038427,14678,0.416064859
ENSG00000038532,12548,0.520561046
ENSG00000038945,7812,0.32578085
ENSG00000039068,6076,0.484529296
ENSG00000039123,6347,0.401449504
ENSG00000039139,24848,0.39560528
ENSG00000039319,15490,0.371400904
ENSG00000039523,6729,0.618368257
ENSG00000039537,6900,0.370289855
ENSG00000039560,7581,0.44281757
ENSG00000039600,3489,0.443680138
ENSG00000039650,4545,0.596259626
ENSG00000039987,2646,0.603174603
ENSG00000040199,12493,0.405346994
ENSG00000040275,4775,0.401675393
ENSG00000040341,8964,0.415216421
ENSG00000040487,2686,0.619136262
ENSG00000040531,4949,0.554455446
ENSG00000040608,3126,0.607165707
ENSG00000040633,2733,0.620563483
ENSG00000040731,3660,0.346721311
ENSG00000040933,13556,0.487975804
ENSG00000041353,7154,0.354347218
ENSG00000041357,6994,0.426222476
ENSG00000041515,8816,0.480490018
ENSG00000041802,4801,0.420953968
ENSG00000041880,3198,0.584427767
ENSG00000041982,9589,0.407550318
ENSG00000041988,4067,0.58937792
ENSG00000042062,6023,0.494936078
ENSG00000042088,6223,0.471958862
ENSG00000042286,5135,0.546445959
ENSG00000042304,1139,0.410886743
ENSG00000042317,6872,0.39508149
ENSG00000042429,16610,0.402167369
ENSG00000042445,4049,0.499135589
ENSG00000042493,2419,0.559322034
ENSG00000042753,1558,0.602053915
ENSG00000042781,20633,0.358018708
ENSG00000042813,2625,0.347428571
ENSG00000042832,11132,0.527039166
ENSG00000042980,9381,0.386419358
ENSG00000043039,3752,0.528518124
ENSG00000043093,8307,0.468279764
ENSG00000043143,11091,0.56180687
ENSG00000043355,3290,0.586322188
ENSG00000043462,6823,0.466803459
ENSG00000043514,6533,0.438389714
ENSG00000043591,3039,0.58769332
ENSG00000044012,604,0.629139073
ENSG00000044090,7873,0.551378128
ENSG00000044115,8830,0.480634202
ENSG00000044446,8547,0.442143442
ENSG00000044459,11064,0.369848156
ENSG00000044524,6577,0.394708834
ENSG00000044574,6530,0.441500766
ENSG00000046604,9492,0.394332069
ENSG00000046647,4001,0.407148213
ENSG00000046651,15550,0.399292605
ENSG00000046653,5767,0.437315762
ENSG00000046774,1994,0.553159478
ENSG00000046889,12132,0.388147049
ENSG00000047056,8029,0.504795118
ENSG00000047188,10805,0.367515039
ENSG00000047230,5531,0.4583258
ENSG00000047249,5104,0.413009404
ENSG00000047315,5891,0.416907146
ENSG00000047346,9848,0.378554021
ENSG00000047365,12427,0.360746761
ENSG00000047410,12350,0.352226721
ENSG00000047457,7072,0.373161765
ENSG00000047578,9759,0.547084742
ENSG00000047579,3046,0.497045305
ENSG00000047597,5174,0.416312331
ENSG00000047617,6064,0.454485488
ENSG00000047621,4932,0.374695864
ENSG00000047634,5497,0.354375114
ENSG00000047644,7416,0.544768069
ENSG00000047648,8893,0.422242213
ENSG00000047662,6731,0.445104739
ENSG00000047849,14994,0.441910097
ENSG00000047932,4628,0.392394123
ENSG00000047936,8890,0.369291339
ENSG00000048028,5793,0.456067668
ENSG00000048052,17284,0.397940292
ENSG00000048140,5215,0.593480345
ENSG00000048162,2806,0.478617249
ENSG00000048342,14588,0.431176309
ENSG00000048392,5391,0.410869968
ENSG00000048405,5793,0.342137062
ENSG00000048462,1015,0.431527094
ENSG00000048471,11299,0.511461191
ENSG00000048540,10002,0.355428914
ENSG00000048544,2100,0.436190476
ENSG00000048545,2971,0.527768428
ENSG00000048649,15579,0.439501894
ENSG00000048707,20768,0.458253082
ENSG00000048740,11029,0.435578928
ENSG00000048828,7246,0.455561689
ENSG00000048991,7898,0.449860724
ENSG00000049089,4215,0.586476868
ENSG00000049130,6205,0.412248187
ENSG00000049167,26458,0.370776325
ENSG00000049192,8565,0.378517221
ENSG00000049239,9322,0.565436602
ENSG00000049245,2733,0.431028174
ENSG00000049246,8128,0.438607283
ENSG00000049247,1793,0.407696598
ENSG00000049249,6354,0.452313503
ENSG00000049283,4503,0.607150788
ENSG00000049323,7348,0.507076756
ENSG00000049449,4472,0.446109123
ENSG00000049540,6572,0.586122946
ENSG00000049541,2211,0.520578924
ENSG00000049618,45931,0.428381703
ENSG00000049656,6549,0.575813101
ENSG00000049759,34097,0.449071766
ENSG00000049768,2619,0.53875525
ENSG00000049769,4378,0.582686158
ENSG00000049860,5015,0.425722832
ENSG00000049883,12115,0.425257945
ENSG00000050030,12338,0.419111687
ENSG00000050130,4350,0.390114943
ENSG00000050165,11958,0.484696438
ENSG00000050327,5818,0.5647989
ENSG00000050344,4303,0.456890541
ENSG00000050393,6057,0.434703649
ENSG00000050405,6291,0.418693371
ENSG00000050426,6032,0.466014589
ENSG00000050438,17920,0.455859375
ENSG00000050555,8939,0.612037141
ENSG00000050628,9510,0.393690852
ENSG00000050730,3749,0.35716191
ENSG00000050748,8955,0.471915131
ENSG00000050767,4359,0.572837807
ENSG00000050820,9199,0.560713121
ENSG00000051009,4726,0.447735929
ENSG00000051108,5062,0.424930857
ENSG00000051128,3422,0.592343659
ENSG00000051180,3084,0.493190661
ENSG00000051341,9185,0.377354382
ENSG00000051382,7841,0.453513582
ENSG00000051523,4161,0.629175679
ENSG00000051596,3449,0.426790374
ENSG00000051620,10352,0.477492272
ENSG00000051825,10304,0.464382764
ENSG00000052126,36233,0.378743135
ENSG00000052344,2975,0.597983193
ENSG00000052723,5894,0.378520529
ENSG00000052749,8529,0.502520811
ENSG00000052795,10981,0.421090975
ENSG00000052802,2852,0.388499299
ENSG00000052841,11296,0.404479462
ENSG00000052850,5727,0.575519469
ENSG00000053108,6711,0.514826404
ENSG00000053254,11154,0.436883629
ENSG00000053328,3839,0.514196405
ENSG00000053371,1779,0.575604272
ENSG00000053372,2556,0.54342723
ENSG00000053438,1329,0.581640331
ENSG00000053501,2431,0.562731386
ENSG00000053524,20884,0.430233672
ENSG00000053702,2814,0.536247335
ENSG00000053747,14488,0.478188846
ENSG00000053770,13019,0.35340656
ENSG00000053900,7444,0.367544331
ENSG00000053918,4420,0.619230769
ENSG00000054116,3527,0.546356677
ENSG00000054118,4720,0.475211864
ENSG00000054148,1612,0.649503722
ENSG00000054179,2640,0.667045455
ENSG00000054219,8805,0.415559341
ENSG00000054267,11073,0.407838887
ENSG00000054277,3724,0.369226638
ENSG00000054282,5321,0.417778613
ENSG00000054356,8228,0.544603792
ENSG00000054392,6645,0.448156509
ENSG00000054523,18915,0.446629659
ENSG00000054598,3983,0.562641225
ENSG00000054611,5315,0.576105362
ENSG00000054654,32359,0.431162891
ENSG00000054690,10828,0.512098264
ENSG00000054793,8073,0.498575499
ENSG00000054796,1823,0.374108612
ENSG00000054803,3154,0.474635384
ENSG00000054938,3114,0.553628773
ENSG00000054965,7887,0.425129961
ENSG00000054967,6187,0.60918054
ENSG00000054983,6736,0.428147268
ENSG00000055044,3274,0.391569945
ENSG00000055070,4742,0.543019823
ENSG00000055118,7207,0.598307201
ENSG00000055130,4152,0.4727842
ENSG00000055147,6523,0.370994941
ENSG00000055163,10564,0.512211284
ENSG00000055208,6109,0.435750532
ENSG00000055211,2250,0.413777778
ENSG00000055332,11036,0.432674882
ENSG00000055483,9269,0.501456468
ENSG00000055609,53322,0.419132816
ENSG00000055732,6624,0.441123188
ENSG00000055813,4114,0.506562956
ENSG00000055917,6979,0.440607537
ENSG00000055950,3578,0.586640581
ENSG00000055955,4659,0.563640266
ENSG00000055957,4541,0.560889672
ENSG00000056050,1422,0.445850914
ENSG00000056097,6771,0.423128046
ENSG00000056277,4638,0.425398879
ENSG00000056291,2499,0.43977591
ENSG00000056487,6007,0.569335775
ENSG00000056558,4476,0.540214477
ENSG00000056586,11563,0.425927527
ENSG00000056736,3044,0.467805519
ENSG00000056972,12634,0.458841222
ENSG00000056998,3621,0.533001933
ENSG00000057019,11280,0.374911348
ENSG00000057149,1707,0.386057411
ENSG00000057252,7005,0.398715203
ENSG00000057294,10267,0.418622772
ENSG00000057468,3270,0.370336391
ENSG00000057593,3799,0.592261121
ENSG00000057608,3918,0.460183767
ENSG00000057657,6750,0.453185185
ENSG00000057663,5655,0.42086649
ENSG00000057704,6512,0.465141278
ENSG00000057757,2173,0.490566038
ENSG00000057935,10580,0.487145558
ENSG00000058056,15296,0.421875
ENSG00000058063,9187,0.377489931
